frame_index,timestamp_sec,class_id,class_name,confidence,x1,y1,x2,y2
0,0.0,2,car,0.855,377.06,178.52,402.7,196.23
0,0.0,2,car,0.6408,328.14,174.69,344.07,190.7
0,0.0,2,car,0.6118,173.32,186.41,232.66,232.38
0,0.0,2,car,0.3928,320.08,173.03,342.63,188.58
0,0.0,2,car,0.3393,143.37,180.64,161.81,189.49
0,0.0,2,car,0.3368,238.69,181.87,252.18,190.53
0,0.0,2,car,0.2934,25.92,179.82,46.5,188.56
0,0.0,2,car,0.2725,311.88,171.92,337.2,184.95
0,0.0,9,traffic light,0.2546,8.63,109.39,27.48,130.1
1,0.0333,2,car,0.849,377.14,178.36,402.47,195.99
1,0.0333,2,car,0.5891,328.77,174.29,343.87,190.46
1,0.0333,2,car,0.4435,237.15,181.37,251.97,190.71
1,0.0333,2,car,0.4403,171.01,186.23,229.84,231.37
1,0.0333,2,car,0.3935,315.99,172.69,342.29,188.15
1,0.0333,2,car,0.346,139.01,180.0,157.07,189.61
1,0.0333,2,car,0.2773,311.81,171.37,337.74,184.61
2,0.0667,2,car,0.8521,377.21,178.39,402.84,196.21
2,0.0667,2,car,0.6052,328.59,173.52,343.72,190.52
2,0.0667,2,car,0.5189,169.34,186.0,227.79,229.78
2,0.0667,2,car,0.48,237.19,181.6,251.5,190.4
2,0.0667,2,car,0.343,274.97,173.14,292.73,182.01
2,0.0667,2,car,0.3053,311.61,171.59,334.0,185.15
2,0.0667,2,car,0.2704,134.4,179.93,152.31,189.57
3,0.1,2,car,0.8412,377.18,178.38,403.21,196.75
3,0.1,2,car,0.5574,328.65,173.39,343.58,190.77
3,0.1,2,car,0.5557,167.67,184.96,225.68,228.5
3,0.1,2,car,0.3895,273.97,173.38,291.25,182.5
3,0.1,2,car,0.3768,236.8,182.02,251.32,190.46
3,0.1,2,car,0.2986,311.33,171.63,333.73,185.14
3,0.1,2,car,0.2618,130.16,179.47,147.75,189.7
4,0.1333,2,car,0.8417,377.17,178.43,403.59,196.36
4,0.1333,2,car,0.5506,328.26,174.39,343.19,190.54
4,0.1333,7,truck,0.4563,165.29,185.9,223.34,229.61
4,0.1333,2,car,0.3785,324.17,172.71,341.82,189.28
4,0.1333,2,car,0.3431,273.72,172.78,291.01,181.83
4,0.1333,2,car,0.3426,235.75,181.92,250.15,190.03
4,0.1333,2,car,0.3028,311.42,171.42,333.35,185.14
4,0.1333,2,car,0.28,165.03,186.07,218.89,228.43
5,0.1667,2,car,0.8373,377.25,178.07,403.78,196.39
5,0.1667,2,car,0.5232,328.07,176.57,342.27,190.47
5,0.1667,7,truck,0.4608,162.97,185.11,220.7,228.33
5,0.1667,2,car,0.3712,235.72,181.65,249.81,189.9
5,0.1667,2,car,0.3328,325.95,172.34,341.75,189.29
5,0.1667,2,car,0.2912,311.17,170.75,332.64,184.86
5,0.1667,2,car,0.2737,162.8,185.54,217.51,228.76
6,0.2,2,car,0.8109,377.2,178.47,404.27,196.6
6,0.2,2,car,0.5253,328.21,175.59,341.98,190.23
6,0.2,2,car,0.4054,161.15,185.65,216.56,218.92
6,0.2,2,car,0.3974,235.74,181.73,249.18,189.63
6,0.2,7,truck,0.3579,160.39,185.34,217.98,225.34
6,0.2,2,car,0.3458,325.42,172.36,341.8,189.71
6,0.2,2,car,0.303,311.25,170.79,332.6,185.13
7,0.2333,2,car,0.7999,377.35,178.3,404.31,197.05
7,0.2333,2,car,0.5596,159.65,185.79,217.64,221.09
7,0.2333,2,car,0.5256,327.96,175.77,341.93,190.3
7,0.2333,2,car,0.456,65.62,182.71,86.38,194.69
7,0.2333,2,car,0.3597,235.95,181.5,248.7,189.09
7,0.2333,2,car,0.3477,270.16,173.54,291.22,182.48
7,0.2333,2,car,0.3448,324.58,172.27,341.71,189.84
7,0.2333,2,car,0.2865,311.3,170.76,332.88,185.17
8,0.2667,2,car,0.7304,377.48,178.03,404.92,197.25
8,0.2667,2,car,0.539,327.76,176.31,341.9,190.26
8,0.2667,2,car,0.4454,157.81,186.01,215.46,221.73
8,0.2667,2,car,0.3597,235.54,181.21,247.64,189.12
8,0.2667,2,car,0.3201,59.14,183.07,78.65,194.55
8,0.2667,2,car,0.3154,325.24,172.26,341.66,189.76
8,0.2667,2,car,0.2745,270.45,173.19,290.28,181.9
8,0.2667,2,car,0.2505,311.08,170.53,333.29,184.84
9,0.3,2,car,0.6699,377.91,178.76,404.75,197.07
9,0.3,2,car,0.6116,155.94,185.85,212.99,224.14
9,0.3,2,car,0.5262,327.87,175.58,341.97,190.07
9,0.3,2,car,0.3797,235.06,181.35,247.61,189.29
9,0.3,2,car,0.253,270.02,173.02,289.35,181.53
10,0.3333,2,car,0.6668,378.25,179.27,405.18,197.47
10,0.3333,2,car,0.5934,154.46,185.81,212.21,223.88
10,0.3333,2,car,0.5178,327.9,175.52,341.95,190.17
10,0.3333,2,car,0.4478,234.59,181.01,247.33,189.38
10,0.3333,2,car,0.2799,85.81,178.22,113.89,192.78
11,0.3667,2,car,0.7282,152.17,185.56,211.17,220.44
11,0.3667,2,car,0.6507,378.31,179.66,405.45,197.49
11,0.3667,2,car,0.5349,327.97,175.56,341.94,190.19
11,0.3667,2,car,0.3962,234.0,180.83,247.12,189.56
11,0.3667,2,car,0.3009,269.57,172.64,290.02,181.29
12,0.4,2,car,0.6689,378.39,179.56,405.78,197.91
12,0.4,2,car,0.5723,150.41,186.96,206.55,220.52
12,0.4,2,car,0.4872,328.12,175.64,342.07,190.05
12,0.4,7,truck,0.3894,151.08,186.32,208.67,219.91
12,0.4,2,car,0.3693,233.3,180.95,247.04,189.72
12,0.4,2,car,0.306,326.34,172.02,342.06,189.83
12,0.4,2,car,0.303,269.91,172.84,289.29,180.98
12,0.4,2,car,0.2583,272.69,172.37,292.16,180.4
13,0.4333,2,car,0.6927,378.93,180.16,406.46,197.8
13,0.4333,2,car,0.5393,148.75,186.66,206.74,220.51
13,0.4333,2,car,0.4753,327.97,175.72,342.13,190.22
13,0.4333,2,car,0.4047,232.81,181.13,246.49,190.02
13,0.4333,2,car,0.404,268.84,173.16,286.3,181.48
13,0.4333,2,car,0.332,325.76,171.94,342.15,189.88
13,0.4333,2,car,0.2999,71.49,177.32,98.66,187.63
13,0.4333,2,car,0.2704,273.32,173.02,291.53,181.07
14,0.4667,2,car,0.7061,378.85,180.8,407.24,197.96
14,0.4667,2,car,0.5923,328.17,175.29,342.72,190.49
14,0.4667,2,car,0.4652,147.79,186.74,201.65,218.26
14,0.4667,2,car,0.41,378.42,179.04,395.13,197.04
14,0.4667,7,truck,0.3923,147.34,186.01,205.59,219.28
14,0.4667,2,car,0.3314,232.6,180.75,246.35,189.49
14,0.4667,2,car,0.3089,322.57,171.26,342.04,189.88
15,0.5,2,car,0.7532,378.86,180.71,407.58,198.22
15,0.5,2,car,0.5878,328.13,176.96,342.75,190.62
15,0.5,2,car,0.5454,145.01,186.91,204.86,218.7
15,0.5,2,car,0.3719,378.54,179.09,391.95,196.5
15,0.5,2,car,0.3319,313.86,170.37,341.97,189.73
15,0.5,2,car,0.2604,232.65,181.13,245.34,189.51
16,0.5333,2,car,0.7173,379.98,180.2,407.94,198.05
16,0.5333,2,car,0.5687,143.61,186.57,204.12,219.48
16,0.5333,2,car,0.5659,328.4,176.39,342.78,190.22
16,0.5333,2,car,0.3075,312.88,169.92,342.04,189.64
16,0.5333,2,car,0.2652,232.23,180.33,245.48,189.43
17,0.5667,2,car,0.6659,380.09,179.8,408.52,198.11
17,0.5667,2,car,0.5199,328.51,176.8,342.68,189.94
